OTUID	X107	X108	X13	X146	X1851A	X1851B	X1851C	X1852A	X1852B	X1852C	X1853A	X1853B	X1853C	X351	X3621A	X3621B	X3621C	X3622A	X3622B	X3622C	X3623A	X3623B	X3623C	X379	X64	X89	Aip24B	CX	MF1A	MF1B	MF1C	MF2A	MF2B	MF2C	MF3A	MF3B	MF3C	MacPC	RT13	RT146	RT351	RT64
K00001	7487.522222	6705.244444	10372.48889	6267.277778	9225.255556	8797.966667	10005.86667	6157.411111	7336.444444	9171.222222	7859.466667	6418.522222	10023.74444	723.7888889	9335.166667	8871.788889	6148.377778	5160.433333	6831.955556	5509.333333	4965.233333	4629.211111	4456.6	2935.022222	8755.088889	7072.711111	923.8444444	4188.722222	7333.433333	5486.477778	5305.344444	5786.433333	5548.911111	6819.977778	5463.7	8908.122222	7596.477778	7737.333333	3297.6	8241.311111	2142.777778	8384.4
K00002	338.5	538	481	2024	15.5	16	15	18.5	19.5	25.5	25.5	24.5	42.5	646.5	87.5	91.5	83	145	145.5	131	117	107	108.5	267.5	464	26.5	598	81	51	27.5	40	37	30.5	43.5	31	49	39.5	140.5	138	180	1537.5	147.5
K00003	24889.98056	25658.27778	28660.40556	18721.81111	21902.23056	20895.6	22055.51667	18237.89444	19281.70278	24462.24722	21805.16667	18275.90556	30989.88611	21214.03889	24023.58333	24328.28889	16841.64444	17337.625	22587.03056	23376.45833	21018.05	19337.97778	18319.825	13075.47222	16677.61389	32574.69444	14161.73611	23653.73889	29509.7	23936.23611	20228.21944	22576.35833	22067.86944	28552.76111	22638.99167	34865.80556	31232.16944	26772.66667	18957.54167	19204.16111	22518.39444	19042.85833
K00004	607.8333333	223.8	443.9666667	270.5333333	352.6833333	356.0166667	334.7833333	296.3333333	268.3333333	332.6	251.5666667	258.3166667	376.8	249.2833333	383.55	383.6833333	302.9333333	214.35	325.7833333	283.05	286.45	249.3166667	245.6666667	486.8833333	505.8166667	576.0666667	201.3166667	1534.066667	4879.666667	4356.583333	3495.7	4012.766667	4161.75	5143.516667	3737.25	5796.466667	5626.6	5276.683333	372.15	1853.45	794.9833333	2677.45
K00005	2.733333333	4.333333333	4.9	5.366666667	3.633333333	3.4	4.2	3.033333333	2.9	4.433333333	4.4	2.666666667	4.166666667	21.56666667	4.633333333	5.633333333	2.966666667	3.533333333	4.7	3.5	5.866666667	5.766666667	3.9	5.8	8.5	17.13333333	3.5	3.866666667	6.7	7.933333333	5.533333333	5.833333333	4.166666667	6.9	7.533333333	9.033333333	8.7	9.133333333	2.233333333	0.9	1.6	0.733333333
K00007	1.2	1.2	0.6	1	1.2	0.8	0.6	0.8	0	1	0.8	0.8	0.8	0.8	1	0.4	0.6	1.6	0.4	1	0.4	1.6	0.6	1.8	1	1.4	0.4	1	1.6	1.6	1.4	1	1.2	1.6	0.6	2.6	2.2	2.8	122.6	1.2	2	0.2
K00008	220.45	18.2	85.1	427	19.7	25.3	18.1	24.8	18.75	39	44.8	38.8	73.8	23.05	15.5	17.15	11.85	9.6	13.4	19	13.4	18.85	15.6	867.55	40.5	26.4	11.9	264	32.85	18.6	23.4	14	18.7	27.85	31.6	46.1	27.7	140.55	143.35	92.95	573	180.45
K00010	13323.575	15748.85	15035.96667	7084.65	7926.641667	7630.133333	6604.266667	6883.75	6259.191667	8628.408333	7326.6	6294.533333	11472.30833	3000.916667	10863.26667	11360.46667	7798.916667	9431.941667	13123.425	15093.425	12519.88333	11629.18333	10201.79167	6541.483333	2459.475	18699.38333	8919.341667	18134.85	13486.13333	9990.675	7827.258333	9545.658333	9671.258333	12967.36667	10453.44167	16381.98333	13932.29167	28440.9	13532.85833	10764.8	16919.66667	9965.291667
K00012	31864.65833	31481.75	39392.06667	38172.85	30391.80833	28997.58333	31207.3	23394	25269.49167	31902.75833	27212.63333	22535.36667	37556.10833	22197.81667	33212.68333	32999.83333	22825.23333	22160.10833	29094.10833	28564.325	25382.23333	23356.8	22308.29167	27309.86667	26681.64167	40942.66667	60219.15833	24643.56667	53876.25	42090.60833	38766.39167	34371.65833	35969.15833	45570.8	34989.94167	50829.01667	45918.025	39232.93333	29773.39167	26925.76667	25556.93333	27151.75833
K00013	28751.71389	28581.22778	36418.17222	34059.39444	26049.64722	24862.76667	26565.16667	20804.22778	22157.01944	28035.91389	24485.08333	20348.35556	34138.63611	21355.15556	28570.45	28616.95556	19749.31111	19631.40833	25750.78056	25897.35833	23101.63333	21287.64444	20257.15833	25005.17222	21838.19722	37982.61111	60891.15278	23936.92222	47286.68333	36728.05278	34000.08611	29676.44167	31120.48611	39569.69444	30725.35833	44110.78889	39582.00278	33047.35	28621.325	22555.69444	23218.64444	22070.14167
