OTUID	X107	X108	X13	X146	X1851A	X1851B	X1851C	X1852A	X1852B	X1852C	X1853A	X1853B	X1853C	X351	X3621A	X3621B	X3621C	X3622A	X3622B	X3622C	X3623A	X3623B	X3623C	X379	X64	X89	Aip24B	CX	MF1A	MF1B	MF1C	MF2A	MF2B	MF2C	MF3A	MF3B	MF3C	MacPC	RT13	RT146	RT351	RT64
ko00010	929514.2917	923212.45	1093944.367	966774.0167	798255.225	761182.3	802752.1	646185.5	682589.2583	868273.625	757709.95	632543.6833	1072294.125	683113.85	884573.15	891774.15	616721.25	628913.6417	825189.2917	847640.1583	753871.3833	694068.95	655818.4917	515456.0833	621666.3583	1180787.367	1511393.742	839060.4167	1201184.25	955604.9917	835496.275	855181.4583	857962.975	1104262.75	866246.225	1301342.65	1168824.708	912689.8833	758344.375	741911.3667	797360.4167	730641.825
ko00020	705487.6333	705333.4	837927.8	757223.65	604553.7333	576805.2167	606539.9	490044.2333	516767.9	657442.8167	574230.1333	479416.9667	813329.4333	505147.9833	673870.25	679166.95	469554.8833	479503.1833	631060.8833	648903.9333	575489.0167	529808.2	499272.4167	442515.4333	466206.6833	905174.3333	1195756.333	632383.65	955318.5333	754144.15	665972.85	664157.7333	673400.45	864728.7333	676881.6833	1008105.633	906370.6	707796.2833	604719.3333	543408.2167	600949.0833	526495.3667
ko00030	629152.4861	609129.1472	731875.7861	609741.0972	490262.2361	467998.7917	486049.225	407144.6722	422131.1222	540155.7778	475047.3917	397537.1944	680362.1306	454506.0694	552917.3083	561944.8444	388410.9806	406413.85	534647.6194	562028.925	498711.7583	459149.2306	431098.4833	341718.9361	360671.8944	789983.1222	833330.2806	590758.1861	792207.8333	629352.3722	547745.7889	564115.8167	567974.2972	732733.2389	579057.1	863062.3111	775501.6722	592525.0667	527856.7583	474589.1556	570018.0722	458184.125
ko00040	342928.4194	328862.6056	359873.1444	239102.6056	207138.6444	197879.9833	191043.3	178294.6889	173366.2472	229375.8778	198395.5833	168534.2778	297782.7389	162517.2194	254295.7667	263439.5028	181873.3139	206306.6833	277645.3444	309181.2	265166.8667	245066.9806	222763.7167	99565.75278	115678.7444	410567.8722	311317.5556	368236.3111	338704.125	263440.2889	218157.7556	247463.7167	246887.4722	323939.2806	259511.7667	393288.9111	346698.8722	252682.1583	280203.1417	247124.2306	335703.5222	238350.3083
ko00051	436087.1833	410604.8278	505070.4611	413267.5444	326128.85	311237.5611	321132.2889	265235.3444	275070.0556	353667.3222	306813.9889	257112.85	439499.0333	245664.7389	372278.6611	377104.8722	260505.4278	272778.5611	362302.5111	379659.4833	332043.9611	306419.5833	284937.6278	204331.6833	237489.7056	515186.9667	605671.5944	387485.3778	499284.2389	391014.5167	341009.9	353885.7722	356525.6556	461581.5222	364132.6889	545653.4611	487071.8389	332490.3556	351513.0444	347230.4167	370136.5111	336212.8167
ko00052	421760.6444	384185.3222	462066.3611	327247.3056	276842.1444	265059.75	267388.4	232226.7056	234134.4389	304227.3278	268079.5333	225282.5278	388076.0222	224770.2444	322153.0167	329634.4778	227691.4556	245462.7167	327704.8944	351574.6	306577.5667	283415.0722	261621.0167	191368.1444	188933.6111	482382.3222	330532.0889	371867.2444	510696.3	401277.3556	349010.7056	353656.0833	361980.4056	468830.1556	367335.65	547515.7611	489703.6722	349472.05	355953.95	310881.0556	366097.1222	305510.6833
ko00053	163064.6111	158002.1306	181404.1028	160575.1806	124008.7361	118322.9583	122381.1917	106221.9389	108712.8639	139205.7778	122972.8583	103132.1111	178142.9806	142698.0278	139735.8583	143464.5028	99088.92222	105552.3167	137476.6861	147655.575	132499.325	121831.3389	115104.1833	81220.16111	90693.41111	211435.8222	263787.2472	171924.7861	197798.875	160029.6556	136231.9889	143634.5167	142395.1472	184802.3306	147663.4833	221025.5778	197825.3556	189788.225	133194.2	123645.3306	167514.1222	121877.5833
ko00061	590671.1167	589303.6667	728961.6167	659317.05	529967.5417	505132.9833	541501.95	446975.4833	473380.5167	596859.7583	535291.2167	447114.0833	756967.3417	610803.525	566335.75	574195.025	396837.775	403437.8417	517618.575	534388.725	489316.8	449994.4083	434448.075	382941.3583	430043.1083	794693.9833	962897.8417	504206.65	818899.6583	666299.6083	585920.5917	586626.725	585660.4917	755383.5083	596022.875	884276.55	801834.1583	740833.4583	510505.65	460013.7583	487427.2333	455903.85
ko00062	4005.888889	4404.111111	4118.888889	2954.777778	8044.222222	7590.333333	8680	4651.444444	5714.444444	7079.888889	4935	3849.888889	6031.444444	85.55555556	8463.666667	7954.555556	5483.444444	4432	5852.555556	4625.333333	3903	3549.111111	3524	1599.888889	8010.888889	5532.111111	545.1111111	557.8888889	4978.333333	3407.111111	3657.444444	2483.333333	2483.444444	2969.111111	2023.666667	3232.888889	2646.444444	650	1185.333333	4574.777778	86.11111111	4303.333333
ko00071	693637.3833	715274.2556	886594.2722	655544.2556	705877.6	673665.9056	729609.3444	557599.2722	601180.7444	758107.5444	664839.9944	549265.5	916248.1	614569.1778	751548.6889	750583.5611	518966.1056	504544.1556	654900.3722	646681.3667	586704.7889	540009.85	520675.7389	483363.45	596081.5944	939271.0333	752128.4389	582982.2222	1156396.644	926856.3167	831908.7333	789199.7444	804826.7778	1024971.928	792310.5444	1177438.239	1064127.178	842697.4778	624162.4222	568341.0333	495543.3556	569014.25
