Constructed from biom file																																											
OTU ID	107	108	13	146	1851A	1851B	1851C	1852A	1852B	1852C	1853A	1853B	1853C	351	3621A	3621B	3621C	3622A	3622B	3622C	3623A	3623B	3623C	379	64	89	Aip24B	CX	MF1A	MF1B	MF1C	MF2A	MF2B	MF2C	MF3A	MF3B	MF3C	MacPC	RT13	RT146	RT351	RT64	taxonomy
OTU_1	183	328	180	1347	1430	1545	1608	1323	1371	1634	1274	1175	1965	2875	23888	24324	19362	23892	33127	28828	33597	31170	26732	14326	911	336	1046	263	179	121	126	138	123	209	147	213	180	227	1408	270	1273	145	Unassigned
OTU_10	634	428	668	203	8747	7422	8727	12680	14380	16611	21565	18913	28448	469	11590	14760	9105	11543	14078	11448	19392	16670	14770	217	11183	235	191	213	6771	7566	5581	14530	13351	14533	12934	23067	17929	1443	453	550	168	530	Bacteria; Planctomycetes; Phycisphaerae; Phycisphaerales; Phycisphaeraceae; SM1A02; uncultured bacterium
OTU_1009	130	182	191	34	102	113	84	92	82	92	108	84	152	20	135	142	88	123	172	182	173	145	137	20	47	235	132	215	156	129	109	114	132	161	122	223	174	40	141	85	44	80	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Labrenzia
OTU_1012	2	8	14	8	16	13	12	16	13	6	11	6	20	32	10	10	5	17	4	6	10	5	10	17	19	8	837	6	16	18	15	13	18	16	20	8	20	47	12	2	15	3	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae
OTU_103	74	532	1417	248	167	142	185	186	210	273	291	297	454	33	167	162	141	188	170	181	210	182	201	79	52	1568	160	2291	738	645	510	1680	1483	1531	1682	2324	2272	187	53	46	59	250	Bacteria; Proteobacteria; Alphaproteobacteria; Caulobacterales; Hyphomonadaceae; Oceanicaulis; uncultured alpha proteobacterium
OTU_1040	4190	757	1984	12842	671	776	606	586	537	790	659	583	1041	556	490	528	332	354	587	629	578	533	450	255	150	727	404	1066	601	442	374	485	350	605	525	828	718	344	1259	4720	35090	3340	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Labrenzia
OTU_1048	272	217	190	1197	1122	1204	992	861	916	1247	1061	964	1718	134	102	79	67	68	115	119	137	117	111	72	37	160	340	231	158	80	102	107	97	160	106	170	143	73	142	255	892	218	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Labrenzia
OTU_1070	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	0	2	0	1	1	1	1	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae
OTU_1093	33	40	32	73	22	19	37	18	12	31	30	28	26	162	46	56	34	32	25	51	56	46	58	42	68	119	22	14	57	51	50	53	44	57	46	88	56	87	12	7	23	2	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Thalassobius; uncultured bacterium
OTU_11	0	0	3	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	Unassigned
OTU_1118	3	0	1	6	1	1	4	2	2	4	1	0	2	60	2	4	0	3	2	5	4	1	4	6	6	3	8	3	1	3	1	6	2	4	2	1	2	5	3	3	636	3	Bacteria; Bacteroidetes; Cytophagia; Order II; Rhodothermaceae; uncultured
OTU_112	29	22	15	16	13	17	16	16	10	23	22	8	27	20	15	24	8	19	15	14	22	17	13	13	9	3	10	27	17	16	10	19	23	12	13	13	19	19343	10	17	14	17	Bacteria; Planctomycetes; Planctomycetacia; Planctomycetales; Planctomycetaceae; Planctomyces; uncultured bacterium
OTU_1123	0	1	94	2	0	1	2	2	0	1	3	1	1	2	3	2	5	2	6	4	6	2	1	3	1	1	1	3	2	0	0	0	0	0	1	1	1	0	3	2	2	0	Bacteria; Bacteroidetes; Cytophagia; Order III; Unknown Family; Balneola
OTU_1141	1	1	0	53	55	61	91	69	62	85	73	51	96	4	7	4	6	4	3	4	4	7	4	6	41	8	71	11	1	1	0	0	3	1	0	0	0	2	2	4	41	1	Bacteria; Bacteroidetes; Cytophagia; Order III; Unknown Family; Balneola
OTU_1144	2	2	0	1	2	4	1	2	1	2	2	1	3	5	67	78	47	54	84	86	90	91	75	16	0	2	2	0	0	0	0	2	2	0	3	1	1	2	3	0	2	2	Bacteria; Bacteroidetes; Cytophagia; Order III; Unknown Family; Balneola; uncultured bacterium
OTU_1170	12	15	6	70	87	116	101	81	90	113	65	66	112	103	182	165	106	137	211	161	214	184	162	125	53	19	73	11	10	4	5	8	9	11	6	6	6	15	8063	13	74	9	Bacteria; Bacteroidetes; Cytophagia; Order III; Unknown Family; Balneola; uncultured bacterium
OTU_118	0	0	2	0	0	0	1	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	4	1	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae; uncultured
OTU_1181	0	4	7	2	34	22	27	49	31	43	46	58	71	4	29	35	36	33	45	46	65	42	40	1	19	3	2	4	15	19	15	40	39	37	38	54	48	5	2	2	4	5	Bacteria; Planctomycetes; Phycisphaerae; Phycisphaerales; Phycisphaeraceae; SM1A02; uncultured bacterium
OTU_1198	19	48	9	201	219	216	251	221	97	258	150	180	299	16230	321	329	272	293	454	434	468	431	365	616	89	44	292	26	24	15	13	19	13	13	26	17	20	30	129	23	219	19	Bacteria; Bacteroidetes; Cytophagia; Order III; Unknown Family; Balneola
OTU_12	500	132	182	168	234	252	222	179	185	219	166	157	230	101	252	245	198	137	221	170	161	136	138	315	221	196	75	70	3898	3517	2775	3333	3466	4345	3130	4876	4836	522	196	133	83	132	Bacteria; Proteobacteria; Gammaproteobacteria; Cellvibrionales; BD2-7; uncultured bacterium
OTU_1205	5	12	12	38	6	9	9	15	15	16	13	14	24	52	13	7	9	14	8	13	17	15	11	48	10	6	45	6514	16	10	13	16	6	11	7	22	12	49	13	14	22	17	Bacteria; Bacteroidetes; Cytophagia; Cytophagales; Flammeovirgaceae; Luteivirga; uncultured organism
OTU_1209	1	1	0	0	0	1	3	1	2	1	0	1	2	0	1	0	1	1	0	0	1	1	0	5	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Marinobacter
OTU_1221	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	2	0	4	0	0	0	0	1	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Cryomorphaceae; Owenweeksia
OTU_1222	11	2	12	61	15	15	12	10	11	13	20	19	25	18	9	12	9	6	4	8	5	6	4	38	3	7	93	10	14	6	10	13	8	13	6	14	13	4821	10	15	19	11	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Cryomorphaceae; Owenweeksia
OTU_1224	0	1	0	0	0	1	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	Bacteria; Bacteroidetes; Cytophagia; Order III; Unknown Family; Balneola
OTU_123	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae; uncultured; uncultured bacterium
OTU_1233	1	1	1	2	1	0	1	0	0	1	0	0	0	2	0	1	0	0	0	0	1	0	0	142	1	1	4	0	2	0	0	0	1	1	0	0	0	3	0	1	0	1	Bacteria; Bacteroidetes; Sphingobacteriia; Sphingobacteriales; NS11-12 marine group; uncultured bacterium
OTU_1237	1	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	3	10	0	2	1	0	0	0	1	1	0	56	0	0	1	0	Bacteria; Bacteroidetes; Cytophagia; Cytophagales; Flammeovirgaceae; Luteivirga; uncultured organism
