ko00561	ko00564	ko04972	ko05111	ko02030	ko02060	ko04080	ko01054	ko00901	ko00300	ko00360	ko00906	ko00190	ko04961	ko01053	ko04115	ko00500	ko02040	ko03070	ko00061	ko00062	ko02025	ko01051	ko04974	ko04973	ko02026
K00865	K00006	K04131	K07173	K03406	K08483	K04129	K16093	K01593	K00003	K00500	K02291	K00329	K04585	K01851	K04728	K02808	K02402	K12340	K11262	K07508	K02660	K16015	K06002	K01176	K02777
K11529	K00057	K04194	K10909	K05874	K02784	K04130	K16094	K01757	K00928	K22328	K17841	K00330	K04632	K02552	K06641	K02809	K02403	K11003	K01946	K07509	K02659	K16016	K01312	K01229	K05851
K15918	K00105	K04634	K10910	K05875	K20116	K04131	K16095	K12693	K12524	K22427	K02293	K00331	K08046	K02361	K06640	K02810	K02398	K11004	K01962	K00022	K06596	K16017	K09632	K12047	K10914
K00128	K00111	K05858	K10915	K05876	K20117	K04132	K16096	K08233	K12525	K01593	K15744	K00332	K08049	K01252	K02216	K01193	K02405	K03221	K02160	K07515	K06598	K16018	K01346	K01203	K02403
K14085	K00112	K02677	K10916	K05877	K20118	K04133	K16097	K12694	K12526	K00276	K00514	K00333	K04345	K00216	K19748	K00696	K02406	K04056	K01961	K07511	K02658	K00615	K01345	K14158	K02402
K00149	K00113	K19662	K10911	K03776	K02777	K04134	K16098	K22326	K00133	K00274	K09835	K13378	K08539	K02362	K06621	K07024	K02407	K04057	K01963	K07512	K02657	K16019	K08779	K01539	K02398
K00011	K00629	K19663	K10912	K10108	K02778	K04135	K16099	K12695	K01714	K13371	K10027	K13380	K08550	K02363	K06643	K00695	K02397	K04059	K11263	K01074	K01768	K16020	K01298	K01540	K02405
K00002	K13506	K07884	K15851	K10439	K02779	K04136	K16100	K21026	K00215	K13372	K15745	K00334	K04974	K02364	K10127	K12047	K02396	K03219	K18472	K01076	K03651	K16021	K08780	K01538	K02425
K00863	K13507	K07901	K03666	K10540	K02802	K04137	K16101	K12696	K00674	K00129	K06444	K00335	K14756	K04778	K04451	K01187	K02414	K04058	K00645	K10247	K10914	K15670	K01291	K07593	K06204
K05878	K00630	K07904	K10917	K12368	K02803	K04138	K16102	K21895	K00821	K00146	K06443	K00336	K01528	K12237	K06625	K12316	K02389	K03222	K00665	K10205	K10941	K15671	K01300	K00844	K03087
