culture	xeq	xeqse	chl	chlse	time	state	sister	identity	Xug	a787
X13			0	0	0	calcifying	sp13	a	0	0.035333
X13	6.30957	0.573726861	0.008521	0.001	3	calcifying	sp13	a	10	0.206333
X13	12.73541667	1.772738899	0.022188	0.000333	6	calcifying	sp13	a	20	0.490333
X13	10.96186667	0.846819968	0.045521	0.002	9	calcifying	sp13	a	30	0.519333
X13	13.42166667	0.411151754	0.098854	0.008838	12	calcifying	sp13	a	50	0.617333
X13	22.44106667	2.287627812	0.155188	0.016384	15	calcifying	sp13	a	80	1.048333
X13	29.15213333	1.27455989	0.181188	0.016707	18	calcifying	sp13	a	100	1.429333
X13	31.36236667	3.061338492	0.204188	0.022696	21	calcifying	sp13	a	150	3.101333
RT13			0	0	0	calcifying	sp13	b	300	5.977333
RT13	5.970896667	0.538299884	0.002188	0.000333	3	calcifying	sp13	b	400	7.105333
RT13	6.94235	0.479616123	0.021854	0.001453	6	calcifying	sp13	b		
RT13	6.256113333	0.33012236	0.038854	0.001333	9	calcifying	sp13	b		
RT13	9.999303333	0.266185912	0.070854	0.000882	12	calcifying	sp13	b		
RT13	11.06882	1.172519229	0.127854	0.004702	15	calcifying	sp13	b		
RT13	19.34843333	0.834341012	0.161521	0.006658	18	calcifying	sp13	b		
RT13	17.869	0.79854702	0.135188	0.004667	21	calcifying	sp13	b		
X64			0.001174	0.001174	0	calcifying	sp64	a		
X64	4.957856667	0.668373864	0.007521	0.001528	3	calcifying	sp64	a		
X64	11.22032333	2.65124236	0.029854	0.000882	6	calcifying	sp64	a		
X64	9.46459	2.038670159	0.062188	0.00811	9	calcifying	sp64	a		
X64	14.77636667	2.030698637	0.107521	0.007234	12	calcifying	sp64	a		
X64	16.98666667	1.510054063	0.155854	0.024251	15	calcifying	sp64	a		
X64	22.9491	0.484550888	0.280188	0.005364	18	calcifying	sp64	a		
X64	31.6119	2.468539814	0.126854	0.021279	21	calcifying	sp64	a		
RT64			0.002521	0.001	0	calcifying	sp64	b		
RT64	5.40348	0.637679545	0.009521	0.001	3	calcifying	sp64	b		
RT64	7.887073333	1.179012298	0.030521	0.002082	6	calcifying	sp64	b		
RT64	7.664273333	0.754350736	0.072521	0.003786	9	calcifying	sp64	b		
RT64	13.2078	1.627918048	0.114854	0.005364	12	calcifying	sp64	b		
RT64	16.3628	1.548111218	0.131188	0.012837	15	calcifying	sp64	b		
RT64	23.35903333	3.290050671	0.148521	0.006028	18	calcifying	sp64	b		
RT64	15.4804	1.290176036	0.152188	0.014712	21	calcifying	sp64	b		
X89			0	0	0	calcifying	n	n		
X89	6.701713333	0.099244801	0.010521	0	3	calcifying	n	n		
X89	8.11879	0.634472282	0.027188	0.001667	6	calcifying	n	n		
X89	6.63043	0.641939886	0.097188	0.017169	9	calcifying	n	n		
X89	9.856723333	1.307071546	0.153521	0.006658	12	calcifying	n	n		
X89	12.60176667	0.789735239	0.193854	0.006227	15	calcifying	n	n		
X89	18.59983333	1.364137794	0.209854	0.006642	18	calcifying	n	n		
X89	26.90616667	5.712097339	0.192188	0.009333	21	calcifying	n	n		
X107			0	0	0	calcifying	n	n		
X107	8.85852	1.165450281	0.003188	0.000333	3	calcifying	n	n		
X107	10.04387667	0.758975951	0.015188	0.001202	6	calcifying	n	n		
X107	13.7604	0.326737647	0.049521	0.003464	9	calcifying	n	n		
X107	20.17726667	1.554243917	0.093521	0.003606	12	calcifying	n	n		
X107	35.13233333	1.772045131	0.112854	0.006642	15	calcifying	n	n		
X107	46.65606667	1.728088664	0.119854	0.016014	18	calcifying	n	n		
X107	45.99653333	1.503342421	0.102854	0.011893	21	calcifying	n	n		
X108			0	0	0	calcifying	n	n		
X108	6.042196667	0.449878962	0.001854	0.000667	3	calcifying	n	n		
X108	7.619693333	0.602099206	0.010521	0.001528	6	calcifying	n	n		
X108	5.34705	0.219034419	0.033854	0.000333	9	calcifying	n	n		
X108	12.22740667	1.810510101	0.103188	0.004978	12	calcifying	n	n		
X108	25.80993333	0.155410042	0.161521	0.003786	15	calcifying	n	n		
X108	30.5603	1.684520799	0.174854	0.00636	18	calcifying	n	n		
X108	30.54243333	6.225654649	0.199188	0.036862	21	calcifying	n	n		
RT146			0.001854	0.000882	0	calcifying	spnp146	b		
RT146	6.380866667	0.65078981	0.009188	0.001667	3	calcifying	spnp146	b		
RT146	9.223926667	0.357829978	0.028188	0.002186	6	calcifying	spnp146	b		
